Hexa,Cube,N,E,Name
0,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0,1,6,Rubik’s
20,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0,4,20,Clock
400,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0,24,120,Stripe
60,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.1.0.0.0,2,8,Bar
100800000,0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.0.0.2.0.0.0.0.0.0.0.0.0,15,62,Clock Mercury
80200000,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.0.0.0.0.0.0,16,68,Clock Venus
420,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.0.0,88,368,Clock Stripe
C00,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.0.0,12,48,Edge
10000000000002,0.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.0,240,996,2 Stripes
180800000,0.0.0.0.0.0.0.0.0.1.1.1.0.0.2.0.0.2.0.0.0.0.0.0.0.0.0,7,23,Bar bordering Clock
180200000,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.2.2.0.0.0.0.0.0.0.0.0,8,28,Bar facing Clock
460,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.2.2.2.0.0.0,40,136,Stairs Top
1100000008,0.0.0.0.0.1.0.0.0.2.2.0.0.0.1.0.0.0.0.0.0.0.3.0.0.3.0,50,168,Clock Neptune
80200020,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.0.3.3.0.0.0,56,196,Clock Mars
80000420,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0.2.2.0.3.3.0.0.0,300,1044,Bordering Clocks & Stripe
80200400,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.0.0,320,1136,Facing Clocks & Stripe
C08,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.1.0.2.0.0.2.0,44,148,Edge & Clock
421,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.3.3,800,2792,Beginner Y
10000000000003,0.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.2,216,720,Edge & Stripe
8000000804,0.0.1.0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.2.2.0.0.0.3.0.0.3,1296,4440,3 Stripes
4018020,0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0.1.1.0.0.0,1,4,Slice
5A0,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.0.0,4,16,Quad
18C000060,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.0.0.0.0.0.3.3.3.0.0.0,3,8,Bordering Bars
180600000,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.0.0.0.0.0.0.0.0.0,4,12,Facing Bars
110000060,0.0.0.0.0.0.0.0.0.1.1.2.0.0.2.0.0.0.0.0.0.3.3.3.0.0.0,20,52,Bar bordering Clock bordering Clock
182800000,0.0.0.0.0.0.0.0.0.1.1.1.2.0.3.2.0.3.0.0.0.0.0.0.0.0.0,25,71,Bar bordering Clock facing Clock
180C00000,0.0.0.0.0.0.0.0.0.1.1.1.0.0.2.3.3.2.0.0.0.0.0.0.0.0.0,26,75,Bar facing Clock bordering Clock
80000460,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0.2.2.3.3.3.0.0.0,124,352,Bar bordering Clock & Stripe
180200001,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.2.2.0.0.0.0.0.0.0.3.3,144,424,Bar facing Clock & Stripe
C60,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.0.0,20,56,Bar & Edge
461,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.2.2.2.0.3.3,328,948,Bridge
1080200020,0.0.0.0.0.1.0.0.0.0.2.2.0.0.1.0.3.3.0.0.0.0.4.4.0.0.0,160,450,Clock Uranus
800080200020,0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.0.3.3.0.0.0.0.4.4.0.0.0,192,570,Edge Road / Clock Saturn
80800420,0.0.0.0.0.0.0.0.0.0.1.1.0.0.2.0.0.2.0.3.3.0.4.4.0.0.0,900,2574,Clock Neptune & Stripe
80200420,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.4.4.0.0.0,1004,2968,Clock Mars & Stripe
10000000C08,0.1.0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.0.2.2.2.0.3.0.0.3.0,150,424,Stalactites
80200084,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.0.3.0.0.3.0.0.3,152,440,Facing Clocks & Edge
10000080000021,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.0.0.0.0.0.0.3.3.0.4.4,2448,7176,Bordering Clocks & 2 Stripes
80200401,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4,2624,7784,Facing Clocks & 2 Stripes
C21,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.1.0.2.2.0.3.3,720,2032,"Clock, Edge & Stripe"
10000000000421,0.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.0.3.3.0.4.4,3888,11288,Spiral Clock
30000000000003,1.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.2,42,120,2 Edges
10000000000C01,0.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.2.0.0.0.0.3.3,1536,4248,Edge & 2 Stripes
10040000000401,0.1.1.0.0.0.0.2.2.0.0.0.0.0.0.0.0.0.0.3.3.0.0.0.0.4.4,4062,11406,Corner Road
84018020,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.0.0.0.0.0.0.2.2.0.0.0,4,14,
B4200000,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.0.0.0.0.0.0.0.0.0,4,13,
B4004000,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.2.0.0.0.0.0.0.0.0.2.0.0,22,74,
800005A0,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0.2.2.0.2.2.0.0.0,14,46,
802C0400,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.0.0,16,56,
800C0404,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0.1.1.0.0.2.0.0.2,76,252,
180600020,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.2.2.2.0.0.0.0.3.3.0.0.0,12,30,
18C002060,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.3.0.0.0.0.4.4.4.0.3.0,11,27,
18C000460,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.0.0.0.0.3.3.4.4.4.0.0.0,22,54,
